original_subject,official_term,authority_uri,confidence
'BIBLES',,,NO_MATCH
'bs',,,NO_MATCH
'2024'],,,NO_MATCH
'apocalyptic fire',,,NO_MATCH
'the watcher',,,NO_MATCH
'Word',,,NO_MATCH
['nonewnormal',,,NO_MATCH
YI451,,,NO_MATCH
'project sekai',,,NO_MATCH
Edu and general reader ebooks,,,NO_MATCH
2019,2019-nCoV disease (USE COVID-19 (Disease)),http://id.loc.gov/authorities/subjects/sh2020000570,HIGH
'metaverse',,,NO_MATCH
'affordable housing',,,NO_MATCH
'चम्बल अभिलेखागार इटावा',,,NO_MATCH
'days',,,NO_MATCH
'random videos',,,NO_MATCH
'lion',,,NO_MATCH
БГПУ,,,NO_MATCH
gyuguy,,,NO_MATCH
'jilid2'],,,NO_MATCH
